timestamp,da_price_eur,rebap_price_eur,pred_short_proba,actual_system_short,portfolio_imbalance_mwh,loss_unmanaged_eur,loss_hedged_eur
2026-08-23 12:00:00,62.66,29.37,0.3028,0,-0.5,16.59,16.59
2026-08-23 12:15:00,66.66,61.77,0.3912,0,7.2,-35.21,-35.21
2026-08-23 12:30:00,50.1,18.73,0.3514,0,0.99,-31.1,-31.1
2026-08-23 12:45:00,67.16,117.26,0.4355,1,4.65,233.18,233.18
2026-08-23 13:00:00,55.71,5.83,0.6653,0,-0.54,26.99,26.99
2026-08-23 13:15:00,57.94,58.68,0.1685,0,-0.24,-0.18,-0.18
2026-08-23 13:30:00,54.12,159.79,0.6727,1,2.64,279.3,279.3
2026-08-23 13:45:00,57.12,59.2,0.4532,0,2.89,6.01,6.01
2026-08-23 14:00:00,58.05,172.39,0.6212,1,-0.4,-45.25,-45.25
2026-08-23 14:15:00,50.52,40.35,0.7499,0,-8.29,84.28,-66.3
2026-08-23 14:30:00,62.84,220.25,0.7236,1,-0.58,-92.03,-92.03
2026-08-23 14:45:00,67.14,12.59,0.4689,0,2.4,-130.86,-130.86
2026-08-23 15:00:00,58.37,115.77,0.2806,1,0.08,4.72,4.72
2026-08-23 15:15:00,69.76,56.04,0.645,0,1.6,-21.91,-21.91
2026-08-23 15:30:00,61.44,78.87,0.3236,1,0.95,16.5,16.5
2026-08-23 15:45:00,71.83,249.55,0.9239,1,-5.02,-892.6,-40.18
2026-08-23 16:00:00,47.08,-38.19,0.1437,0,3.09,-263.47,-24.72
2026-08-23 16:15:00,78.98,166.11,0.8182,1,-2.03,-176.9,-16.24
2026-08-23 16:30:00,76.81,151.91,0.6455,1,-1.76,-131.84,-131.84
2026-08-23 16:45:00,65.1,-95.67,0.1842,0,2.07,-332.53,-16.55
2026-08-23 17:00:00,55.56,169.53,0.2629,1,-2.56,-291.84,-291.84
2026-08-23 17:15:00,67.92,63.64,0.697,1,0.92,-3.92,-3.92
2026-08-23 17:30:00,60.87,250.5,0.6152,1,-3.0,-568.0,-568.0
2026-08-23 17:45:00,76.65,105.14,0.5891,1,-0.66,-18.7,-18.7
2026-08-23 18:00:00,70.12,71.72,0.0242,0,-1.31,-2.09,-2.09
2026-08-23 18:15:00,69.99,325.14,0.9373,1,-1.62,-412.55,-12.94
2026-08-23 18:30:00,80.55,31.08,0.3017,0,-2.86,141.37,141.37
2026-08-23 18:45:00,77.65,112.67,0.7344,1,-0.16,-5.53,-5.53
2026-08-23 19:00:00,80.88,128.02,0.2022,1,0.42,20.02,20.02
2026-08-23 19:15:00,75.8,209.14,0.8435,1,3.24,432.13,432.13
